company,competitors
JACK,"JACK vs. CAKE, CBRL, EAT, BLMN, PZZA, BJRI, DIN, CHUY, DENN, and SG"
IVR,"IVR vs. ACRE, DX, MITT, NYMT, RWT, ARR, CIM, MFA, PMT, and TWO"
JAKK,"JAKK vs. FNKO, GOEV, VIRC, WOOF, MAT, SPGC, ISPOW, SIX, CUK, and SEAS"
JAN,"JAN vs. QLGN, RNAZ, ADXS, ARDS, ENVB, PTPI, ALLR, PRFX, NEXI, and SONN"
JANX,"JANX vs. WVE, PHAT, CMPS, SLN, SPRY, BMEA, NRIX, TRDA, LQDA, and MRNS"
JAQC,"JAQC vs. HHGC, CCTS, IGTA, ATAK, OHAA, PLTN, RACY, LBBB, CLRC, and OLIT"
JAZZ,"JAZZ vs. IONS, PRGO, CORT, CERE, IMGN, CTLT, GRFS, KRTX, ASND, and ELAN"
JBHT,"JBHT vs. SAIA, KNX, LSTR, ODFL, WAB, LUV, DAL, UAL, UHAL, and ZTO"
IVT,"IVT vs. ARI, ROIC, RLJ, PEB, JBGS, CXW, RC, SAFE, AKR, and ESRT"
IX,"IX vs. INVH, ARE, FCNCA, OWL, MTB, BRO, EQR, IRM, VTR, and RJF"
JBLU,"JBLU vs. SKYW, ALGT, HA, MESA, CPA, ALK, SAVE, ULCC, GOL, and SNCY"
JCSE,"JCSE vs. MWG, DGLY, SPCB, GWAV, AREB, LGMK, AWX, MOB, WKEY, and ARTW"
JBSS,"JBSS vs. FREE, TR, AGRO, WALD, LESL, FDP, CHEF, SCHL, MATW, and NAPA"
J,"J vs. BAH, FDS, AFRM, GEN, STX, PATH, APP, RTO, TRU, and DOCU"
JCTCF,"JCTCF vs. JOAN, AHG, BTBD, BFI, GVH, YJ, RGS, MOGU, FTFT, and GRIL"
JD,"JD vs. ULTA, FAST, YUM, KR, ROST, AZO, DLTR, DG, QSR, and TSCO"
IVZ,"IVZ vs. AMG, CNS, BEN, HLI, EVR, HLNE, JHG, MC, AB, and STEP"
JFBR,"JFBR vs. PIK, OCG, CJJD, SECO, DBGI, ONFO, TGL, BYU, JWEL, and BQ"
JEWL,"JEWL vs. BTTR, OLB, FGI, GRIL, FTFT, MOGU, RGS, YJ, GVH, and BTBD"
JBGS,"JBGS vs. CXW, SAFE, AKR, ESRT, ROIC, ARI, IVT, LADR, RLJ, and PEB"
JFIN,"JFIN vs. YRD, SNFCA, CPSS, OPRT, SLAC, MX, SPOK, RMNI, OUST, and BBAI"
JFU,"JFU vs. SHFS, CURO, SDIG, BTCS, PWM, MEGL, BTOG, ARBK, OPRT, and BTM"
JFBRW,"JFBRW vs. LGCB, QRTEP, ZKH, AREBW, AUVIP, ARKOW, BTB, GOEVW, CREVW, and CDROW"
JG,"JG vs. LCFY, PODC, PHUN, OST, IVDA, IDAI, VJET, HTCR, VISL, and SPEC"
JCE,"JCE vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JBL,"JBL vs. FLEX, SMCI, EPAM, CHKP, TYL, WDC, DT, TER, SWKS, and ENTG"
JCI,"JCI vs. ROK, FERG, GWW, IR, XYL, DOV, TS, AXON, EMR, and BALL"
JBI,"JBI vs. PGTI, PRIM, HLMN, DOOR, JELD, GVA, WGO, ROAD, USLM, and ROCK"
JJSF,"JJSF vs. WDFC, NWL, NOMD, GO, VSTS, SMPL, DNUT, FRPT, TR, and ENR"
JEF,"JEF vs. SEIC, SF, MKTX, HOOD, FRHC, VIRT, NMR, PIPR, NAVI, and RJF"
JEQ,"JEQ vs. DTF, CEV, NXC, GCV, CEE, EEA, NMI, KSM, BCV, and PCM"
JKHY,"JKHY vs. OTEX, LDOS, GDDY, CACI, PSN, SAIC, IOT, FLEX, PAYC, and PSTG"
JELD,"JELD vs. DOOR, HLMN, PRIM, JBI, USLM, NX, BZH, GVA, VSEC, and BXC"
JFR,"JFR vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JMSB,"JMSB vs. CZNC, BWB, BSRR, FBIZ, OBT, BMRC, WTBA, ORRF, CZFS, and RBB"
JBT,"JBT vs. KAI, PNR, YOU, WIRE, HI, BDC, GEF, ALRM, AIN, and ESE"
JHG,"JHG vs. AMG, MC, HLNE, EVR, AB, CNS, STEP, FHI, PJT, and VCTR"
JHI,"JHI vs. ECF, KF, PCF, PAI, NIM, PFO, MGF, SSSS, SWZ, and NAZ"
JOAN,"JOAN vs. BFI, JCTCF, AHG, WKSP, XELB, BTBD, GVH, YJ, RGS, and MOGU"
JNVR,"JNVR vs. SPEC, BOSC, OST, LCFY, JG, PHUN, CISO, IVDA, VISL, and VJET"
JKS,"JKS vs. CSIQ, SPWR, SHLS, SEDG, EE, AESI, TALO, HPK, DK, and AMRC"
JILL,"JILL vs. DXLG, MYTE, PLCE, LOCO, LE, PBPB, FTCH, NATH, TTSH, and VRA"
JHS,"JHS vs. VFL, AWF, ASA, MCI, MPV, DSM, LEO, EVN, EQS, and FT"
JHX,"JHX vs. LII, MAS, WSO.B, RPM, WSO, OC, ACM, BLD, FND, and CX"
JMIA,"JMIA vs. DDL, QRTEA, SFIX, MYTE, HEPS, DIBS, WISH, AKA, RVLV, and BH"
JOUT,"JOUT vs. ESCA, CLAR, ONEW, BWMX, GPRO, MCS, NRDY, LIND, RSVR, and VTRU"
JGH,"JGH vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JNPR,"JNPR vs. FFIV, HPQ, PCTY, OLED, TIMB, NVT, VIPS, WCC, LSCC, and BILL"
JNJ,"JNJ vs. ABBV, MRK, LLY, PFE, BMY, NVO, AZN, ABT, SNY, and VRTX"
JMM,"JMM vs. LOAN, BOTJ, CLST, IROQ, FUSB, SELF, HNNA, MNY, UBOH, and SDIG"
JLL,"JLL vs. EXPI, BEKE, UNM, WBS, AIZ, EGP, FRT, COLD, SEIC, and HLI"
JOB,"JOB vs. DGHI, AREN, ZENV, MOGO, JZ, FLNT, OWLT, BYTS, SSNT, and CMAX"
JLS,"JLS vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JRVR,"JRVR vs. GBLI, GLRE, NODK, HRTG, DGICA, UVE, MHLD, KFS, UFCS, and HIPO"
JSM,"JSM vs. ASGI, ARBKL, ATCOL, RILYN, RILYG, RILYZ, RILYT, BLACR, BMEZ, and BLEUR"
JRSH,"JRSH vs. GEHI, BEDU, KOSS, SOND, RDI, PFIN, CASA, COE, BZFD, and SNAL"
JSPR,"JSPR vs. NKGN, AVRO, CRDF, CRDL, CDTX, TSBX, SGMO, ALGS, CGTX, and PASG"
JOBY,"JOBY vs. KEX, R, FRO, AL, ALK, SNDR, AZUL, GATX, HRI, and CPA"
JOE,"JOE vs. MAC, NSA, FIBK, SBRA, PK, BHF, VIRT, NNI, IRT, and WD"
JPM,"JPM vs. MS, GS, IBN, ACGL, TW, KB, CINF, SHG, FUTU, and SSB"
JTAI,"JTAI vs. NTWK, NXPL, IDN, MNDO, OCC, MRDB, CHR, EMKR, WHLM, and MIGI"
JTAIZ,"JTAIZ vs. AUUDW, CPTNW, XELAP, JTAIW, KBNTW, LTCHW, MCLDW, NXPLW, NVNIW, and PAYD"
JTAIW,"JTAIW vs. AUUDW, CPTNW, XELAP, JTAIZ, KBNTW, LTCHW, MCLDW, NXPLW, NVNIW, and PAYD"
JVA,"JVA vs. CHSCP, KOF, FMX, TTCFQ, HFFG, MED, UTZ, USFD, DPZ, and MKC"
JWEL,"JWEL vs. BYU, TC, SECO, CJJD, MGOL, OCG, PIK, JFBR, DBGI, and ONFO"
JOF,"JOF vs. VFL, AWF, ASA, MCI, MPV, DSM, LEO, EVN, EQS, and FT"
JXJT,"JXJT vs. AEHL, TROO, ATXG, FRES, AEI, STRR, LRHC, ALPP, PAVS, and HAPP"
JQC,"JQC vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JPI,"JPI vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JYD,"JYD vs. OMEX, GLBS, EDRY, NM, BEST, RAIL, PXS, SRFM, CTRM, and MESA"
JPC,"JPC vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JYNT,"JYNT vs. TELA, OMGA, LBPH, CVM, GLYC, SY, ZVIA, VACC, GRPH, and INGN"
JZ,"JZ vs. EDTK, SSNT, OWLT, CMAX, MOGO, AREN, ZENV, DGHI, HLBZ, and KSCP"
JRI,"JRI vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JZXN,"JZXN vs. CZOO, ZEV, VLCN, NXU, KXIN, VRM, CRMT, KAR, CYD, and RACE"
JT,"JT vs. HOLO, IPDN, PT, CNET, TOMZ, TYDE, PALT, UPXI, ALAR, and WE"
KA,"KA vs. THTX, KRRO, BOLT, HUGE, SLS, MRKR, CRVO, CKPT, BYSI, and ELDN"
KALA,"KALA vs. COCP, NCNA, CALC, BFRG, MIRA, MTEM, GLTO, VIRX, ACST, and AKTX"
KACL,"KACL vs. CLRC, OLIT, VSAC, PEPL, DMAQ, RACY, PLTN, ACAX, AQU, and OHAA"
KALV,"KALV vs. OCS, ABUS, TERN, FULC, SIGA, GNLX, HROW, URGN, IMNM, and PROC"
KARO,"KARO vs. WKME, AWINW, LIDRW, ALLG, APCXW, ARBEW, ARQQW, ASTSW, AUUDW, and AUROW"
KALU,"KALU vs. NX, TG, CSTM, WIRE, CMCO, TRS, POWL, APOG, IRBT, and ERII"
KAVL,"KAVL vs. AGRIW, BF-B, BRSHW, BTCTW, CHSCO, CHSCN, CHSCM, CHSCL, EDBLW, and KALWW"
JWN,"JWN vs. URBN, BKE, AEO, ANF, GPS, TRIP, FL, SHAK, ZGN, and HGTY"
JRS,"JRS vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
JWSM,"JWSM vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCAW, ASCBU, ENERU, AVHIU, and AVHIW"
KC,"KC vs. EVBG, GDYN, TUYA, BASE, DDD, WEAV, OPRA, CRNC, PDFS, and ENFN"
KELYA,"KELYA vs. BBSI, TBI, SRT, KFRC, CCRN, TTEC, RCMT, HQI, DLHC, and VVI"
KE,"KE vs. NNDM, BHE, ELTK, SGMA, CTS, TTMI, LILM, ATEX, PLPC, and STEM"
KDP,"KDP vs. STZ, ABEV, DEO, KHC, KVUE, KMB, ADM, GIS, EL, and HSY"
KELYB,"KELYB vs. KELYA, BBSI, CCRN, TBI, TTEC, RCMT, HQI, DLHC, KFRC, and IMXI"
KEQU,"KEQU vs. ZFOX, SANG, ONDS, GAN, SDH, SURG, ELTK, PXLW, LINK, and TACT"
KERN,"KERN vs. ENVB, ARDS, ADXS, INBS, APVO, RNAZ, TNON, JAN, QLGN, and PHAS"
JXN,"JXN vs. AEL, LNC, BHF, GNW, FG, NWLI, PRI, VOYA, RGA, and GL"
KAMN,"KAMN vs. RDW, RKLB, KTOS, ASLE, DCO, ATRO, TGI, UP, EH, and PKE"
K,"K vs. WMG, ONON, EDR, SIRI, CCL, MGM, SNA, TCOM, POOL, and IHG"
KAR,"KAR vs. THRM, XPEL, CTOS, PHIN, GTX, LAZR, WNC, DAN, HSAI, and CHPT"
KB,"KB vs. SHG, SSB, BPOP, WTFC, BOKF, UBSI, GBCI, FFIN, UMBF, and CINF"
KAI,"KAI vs. JBT, PNR, HI, BDC, YOU, WIRE, GEF, ALRM, AIN, and ESE"
KCGI,"KCGI vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCAW, ASCBU, ENERU, AVHIU, and AVHIW"
KD,"KD vs. PSN, AUR, SPXC, WU, NSP, MARA, FCFS, EXLS, DLO, and MMS"
KFRC,"KFRC vs. BBSI, KELYA, TBI, SRT, AMN, MAN, NSP, TTEC, CCRN, and GEO"
KFFB,"KFFB vs. MSVB, FSEA, CPBI, CFSB, HFBL, NSTS, IROQ, CLST, CARV, and FFBW"
KBR,"KBR vs. FLR, STRL, GVA, ROAD, FIX, EXP, MTH, THO, AYI, and SSD"
KEN,"KEN vs. EDN, TAC, PAM, OTTR, BKH, POR, AQN, ENIC, IDA, and CIG"
KBH,"KBH vs. MHO, MTH, TPH, TOL, TMHC, DFH, CCS, RYN, BCC, and LPX"
KEP,"KEP vs. PNW, BEP, OGE, NRG, AGR, ELP, CIG, IDA, VST, and ENIC"
KIDS,"KIDS vs. NVRO, AORT, SIBN, PLSE, TMCI, ATRI, OSUR, IRMD, FNA, and MDXG"
KHC,"KHC vs. LW, STZ, KDP, ABEV, KVUE, KMB, ADM, GIS, HSY, and SYY"
KINS,"KINS vs. FGF, CNFR, OXBR, ICCH, BMTX, TCJH, LEJU, OPHC, NOM, and WVFC"
KEY,"KEY vs. RF, WBS, HBAN, FHN, CFR, PNFP, ZION, SNV, FNB, and ONB"
KFS,"KFS vs. MHLD, HRTG, HIPO, NODK, JRVR, GBLI, GLRE, DGICA, UVE, and UFCS"
KEX,"KEX vs. MATX, INSW, GOGL, TNK, GLNG, FLNG, FRO, AL, JOBY, and SNDR"
KIRK,"KIRK vs. RENT, YJ, BARK, HOUR, RAVE, EXPR, XELB, WKSP, FARM, and BFI"
KFY,"KFY vs. COUR, CBZ, NPO, CXT, CXM, LSPD, CRDO, FLYW, OPEN, and CD"
KEYS,"KEYS vs. FTV, AME, CGNX, ROP, SNAP, FICO, HUBS, NET, WIT, and VEEV"
KGC,"KGC vs. AU, AGI, SBSW, HMY, OR, EGO, GFI, FNV, WPM, and AEM"
KITT,"KITT vs. AERT, ICLK, GRRR, AATC, KPLT, RCAT, ABTS, OPTX, PRST, and ATER"
KITTW,"KITTW vs. POWWP, HEI-A, LUNRW, KWESW, MOG-A, SATLW, ADSEW, AERTW, AIRTP, and BAERW"
KLAC,"KLAC vs. INFY, CDNS, ANET, RELX, FISV, SNPS, WDAY, PYPL, NTES, and MU"
KLXE,"KLXE vs. PFIE, DWSN, BATL, SLNG, PRT, USEG, BROGW, CHKEZ, CHKEW, and IMPPP"
KIM,"KIM vs. FRT, NNN, KRG, O, SPG, HST, ELS, WPC, AMH, and GLPI"
KF,"KF vs. JHI, ECF, PCF, PAI, NIM, PFO, MGF, SSSS, SWZ, and NAZ"
KLIC,"KLIC vs. FORM, TSEM, SITM, DIOD, AMBA, OSIS, VIAV, SIMO, PLAB, and MXL"
KLTR,"KLTR vs. PRCH, EGAN, RDVT, LPSN, BBAI, BLZE, ONTF, CTV, MIXT, and BAND"
KMDA,"KMDA vs. ESPR, STTK, HRTX, INZY, ALLK, RPTX, AVIR, XERS, EPIX, and YMAB"
KGS,"KGS vs. TGS, NGL, AROC, USAC, ETRN, KNTK, DTM, ENLC, AM, and GEL"
KIO,"KIO vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
KIND,"KIND vs. HSTM, EB, HUYA, PUBM, YALA, MODN, BLND, CEVA, VNET, and TBLA"
KNDI,"KNDI vs. DOYU, REAL, CLAR, HBB, SGC, POWW, ALTO, HOFT, RCKY, and HNST"
KNSA,"KNSA vs. XNCR, AKRO, MOR, PNT, AVDL, AGIO, SAGE, DAWN, DCPH, and PTGX"
KNTK,"KNTK vs. ENLC, AM, AROC, TRMD, NFG, VTLE, NGL, TNP, SMLP, and BROGW"
KNTE,"KNTE vs. PMVP, RLYB, ABEO, HOWL, ETON, RNAC, SYRS, CARM, GALT, and ANIX"
KKR,"KKR vs. BX, APO, AMP, ARES, OWL, EQIX, CME, MCO, BMO, and ICE"
KMB,"KMB vs. KVUE, ADM, GIS, STZ, HSY, SYY, KHC, KDP, ABEV, and CTVA"
KOD,"KOD vs. OPT, BDTX, SRNE, IPSC, MOLN, CVM, OMGA, GRPH, VIGL, and GRTS"
KMT,"KMT vs. ATMU, LZ, HEES, MWA, XRX, SXI, AMBP, TNC, EPAC, and ALG"
KLG,"KLG vs. NAPA, MATW, CHEF, SCHL, HAIN, NUS, JBSS, UNFI, LESL, and WALD"
KMI,"KMI vs. WMB, TRGP, TRP, ET, EPD, WES, OKE, SU, CEG, and MPLX"
KMX,"KMX vs. PAG, LAD, AN, GPI, CVNA, CASY, RUSHB, RUSHA, DKS, and WSM"
KMPR,"KMPR vs. HMN, AFG, THG, SPNT, AXS, HG, PLMR, FIHL, LMND, and SKWD"
KOPN,"KOPN vs. MRAM, ATOM, SQNS, AIP, VLN, AXTI, NA, MX, PXLW, and GSIT"
KNF,"KNF vs. SUM, USLM, MHO, GTES, ACA, MDC, TPH, DFH, DY, and SKY"
KNOP,"KNOP vs. OMEX, EDRY, CLCO, ESEA, DSKE, YELLQ, GASS, HSHP, CPLP, and SHIP"
KNSL,"KNSL vs. SIGI, RLI, AFG, RNR, AXS, THG, CNA, KMPR, L, and EG"
KPRX,"KPRX vs. HILS, VRPX, LSDI, APTX, CLVR, PTIX, BDRX, ADXN, ARTL, and EVOK"
KPLT,"KPLT vs. RCAT, ABTS, AERT, KITT, OPTX, ICLK, GRRR, AATC, ATER, and VIVK"
KOSS,"KOSS vs. GNSS, GEHI, JRSH, BEDU, SOND, CURI, RDI, PFIN, CASA, and ANGH"
KPTI,"KPTI vs. ATOS, ORMP, VAXX, BTAI, NKTR, CMRX, CTMX, ONCY, TRVI, and RVPH"
KO,"KO vs. UL, FIZZ, LANC, LOPE, BRFS, SPB, HELE, CCU, UVV, and RMCF"
KNX,"KNX vs. WERN, JBHT, SNDR, ARCB, AAL, PAC, CHRW, ASR, XPO, and TFII"
KRKR,"KRKR vs. SALM, MDIA, ANTE, INUV, BZFDW, CCGWW, GROMW, LCFYW, MNYWW, and MCHX"
KODK,"KODK vs. SOHU, TRUE, ONTF, BLZE, AMSC, SIFY, TLS, LVOX, GILT, and WBX"
KN,"KN vs. ARLO, COHU, DCBO, TTMI, NTCT, SABR, CSGS, IESC, SPNS, and INDI"
KOF,"KOF vs. FMX, CHSCP, JVA, REED, COKE, CELH, CCEP, MNST, TTCFQ, and AGRI"
KRMD,"KRMD vs. MLSS, PXDT, RLYB, MGRM, HOWL, RNAC, SLDB, OTLK, BWAY, and KNTE"
KRNL,"KRNL vs. ROSS, WNNR, NSTD, BCSA, JMAC, TLGY, PHYT, NSTC, LCA, and BRD"
KORE,"KORE vs. SURG, CXDO, LPTH, AEYE, KTCC, LTRPA, SYPR, IRIX, ASYS, and CUTR"
KOP,"KOP vs. SA, LAAC, TMST, CMP, ASTL, KRO, RYI, SLCA, GSM, and FSM"
KOS,"KOS vs. CRK, CPE, SM, MTDR, SWN, RRC, ERF, CNX, VIST, and BSM"
KRNT,"KRNT vs. CENX, SCSC, TWI, MRC, PRLB, GRC, HY, ERII, ASTE, and IRBT"
KRON,"KRON vs. COYA, SPRO, VHAQ, RLMD, LPTX, TPST, ACRS, ELYM, MNOV, and NGM"
KRNY,"KRNY vs. NFBK, PFC, CFFN, WSBF, BRKL, DCOM, OCFC, PFS, HTBI, and FMAO"
KREF,"KREF vs. BFS, ARR, BRSP, BDN, UMH, NXRT, CSR, ALX, RWT, and DHC"
KRT,"KRT vs. CLW, MYE, ITRN, ACCO, DXPE, EBF, EAF, ALTG, MTW, and BOOM"
KRRO,"KRRO vs. KA, CRVO, CKPT, THTX, YMTX, MEIP, BOLT, HUGE, SLS, and MRKR"
KROS,"KROS vs. TNGX, MNKD, ETNB, ZNTL, INVA, ANIP, PLRX, KURA, COLL, and AMLX"
KRTX,"KRTX vs. CTLT, IMGN, ROIV, JAZZ, SRPT, CERE, GRFS, ASND, ELAN, and BBIO"
KR,"KR vs. DLTR, DG, YUM, FAST, JD, QSR, ULTA, TSCO, EBAY, and WBA"
KRUS,"KRUS vs. BJRI, DIN, PTLO, CHUY, RICK, DENN, TAST, FWRG, BH, and SG"
KSCP,"KSCP vs. USIO, DGHI, ZENV, PRST, MOGO, CMAX, OWLT, JZ, SSNT, and AATC"
KRYS,"KRYS vs. DNLI, IMCR, DNA, RVMD, IBRX, ACLX, BEAM, NMRA, TWST, and RXRX"
KRG,"KRG vs. MAC, SKT, NNN, ROIC, AKR, FRT, KIM, AIRC, KRC, and RITM"
KRC,"KRC vs. SLG, DEI, BXP, AIRC, KRG, PECO, EPRT, RITM, HHH, and APLE"
KTCC,"KTCC vs. TACT, SGMA, ELTK, LTRPA, SYPR, USIO, IRIX, LPTH, KORE, and ICAD"
KTOS,"KTOS vs. RKLB, KAMN, AIR, SPR, ACHR, EVEX, ERJ, AVAV, SPCE, and EH"
KTTA,"KTTA vs. CNSP, NHWK, PULM, CVKD, GHSI, SBFM, KZIA, TENX, VCNX, and APM"
KTRA,"KTRA vs. SPRC, GLMD, CFRX, EVLO, BLPH, THAR, SXTC, ONCR, AVTX, and ZVSA"
KTTAW,"KTTAW vs. LBPSW, ATNFW, GMBLW, LIXTW, NRSNW, NLSPW, XBIOW, ADNWW, AMPGW, and CEADW"
KRP,"KRP vs. DMLP, AESI, TALO, VET, GRNT, SBOW, PARR, CRGY, VTS, and TTI"
KRO,"KRO vs. VHI, MTX, TROX, CMP, RYI, SA, GSM, KOP, FSM, and LAAC"
KURA,"KURA vs. PLRX, COLL, INVA, ZNTL, ETNB, AMLX, TNGX, KROS, MNKD, and CVAC"
KVACU,"KVACU vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCAW, ASCBU, ENERU, ENERW, and ACBAW"
KVAC,"KVAC vs. NFYS, TPBA, SEDA, MCAA, RCFA, BRKH, PEGR, SBXC, BOCN, and IVCA"
KVHI,"KVHI vs. PCTI, CMTL, AVNW, ONDS, CMBM, VUZI, AIRG, SATL, CRNT, and GILT"
KVACW,"KVACW vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCAW, ASCBU, ENERU, ENERW, and ACBAW"
KVSA,"KVSA vs. DUNE, MVLA, FATP, FGMC, SGII, GREE, HFBL, PBHC, VCXAU, and VIIAU"
KSS,"KSS vs. M, DDS, GMS, SHAK, TRIP, JWN, FL, RUSHA, URBN, and ZGN"
KWESW,"KWESW vs. POWWP, HEI-A, LUNRW, MOG-A, KITTW, SATLW, ADSEW, AERTW, AIRTP, and BAERW"
KTF,"KTF vs. HQL, PMO, MIY, PPT, SOR, MHN, TYG, MIN, ASG, and PMM"
KT,"KT vs. FYBR, PHI, TIMB, BWXT, DSGX, CACI, FN, RMBS, FRSH, and YNDX"
KWE,"KWE vs. ASST, CUEN, SMX, IMTE, NXL, TRKA, STAF, OCTO, VOCL, and RCRT"
KUKE,"KUKE vs. EEIQ, FEDU, AACG, GSUN, VEDU, GV, GEHI, BEDU, COE, and YQ"
KYCH,"KYCH vs. GMFI, AFAR, NBST, LBBB, TETE, NVAC, PBAX, FRLA, DIST, and FORL"
KSM,"KSM vs. BCV, PCM, NMT, NMI, SWZ, SSSS, MGF, PFO, NXC, and NIM"
KXIN,"KXIN vs. CZOO, LIDR, ARVL, FFIE, UCAR, AYRO, ZAPP, NVVE, BRDS, and FUV"
KYMR,"KYMR vs. INBX, SRRK, VIR, RLAY, BCRX, APGE, VCEL, AMAM, ADMA, and PRME"
KTB,"KTB vs. OXM, VFC, PVH, RL, RLX, MANU, LEG, SHOO, PLTK, and VAC"
KZIA,"KZIA vs. SBFM, GHSI, CVKD, PULM, NHWK, KTTA, CNSP, ALZN, BPTS, and DMK"
KZR,"KZR vs. BCTX, IMUX, FGEN, OCUP, AFMD, CLSD, IFRX, TLSA, ADAG, and EGRX"
LAB,"LAB vs. HBIO, LUNA, AKYA, SEER, IVAC, SOTK, AXDX, BNGO, HLTH, and NSTG"
LABP,"LABP vs. VINC, GNPX, MYNZ, ACRX, HEPA, VBIV, AGE, MBIO, TCRT, and TNXP"
LAKE,"LAKE vs. NNBR, MKFG, EML, HURC, ARC, TPIC, UFI, IPAX, WRAP, and PESI"
KVUE,"KVUE vs. EL, COTY, KMB, ADM, GIS, STZ, SYY, HSY, KHC, and KDP"
LAMR,"LAMR vs. PEAK, BXP, CPT, REXR, CUBE, NLY, REG, UDR, GLPI, and AMH"
LAES,"LAES vs. LEDS, WISA, EMKR, CLAY, INTZ, EZFL, BLIN, SOPA, SCKT, and CAMP"
LAND,"LAND vs. CLDT, TRTX, OLP, ORC, IVR, ACRE, UHT, WSR, FPI, and HT"
LANC,"LANC vs. BRFS, FIZZ, LOPE, SPB, HELE, CCU, THS, UVV, FTFT, and RIBT"
LANDM,"LANDM vs. LANDP, LANDO, AGNCP, AGNCO, AGNCN, AGNCM, AGNCL, BPYPP, BPYPO, and BPYPN"
LANDO,"LANDO vs. LANDP, LANDM, AGNCP, AGNCO, AGNCN, AGNCM, AGNCL, BPYPP, BPYPO, and BPYPN"
KWR,"KWR vs. VVV, HMY, SBSW, AVNT, SMG, NXE, CRS, ASH, HUN, and MP"
KVYO,"KVYO vs. SPSC, YMM, CFLT, BRZE, PCOR, DUOL, INST, MQ, CXM, and COUR"
KYN,"KYN vs. AWP, THQ, ACP, THW, AVK, AFB, AFT, AIF, ARDC, and BGH"
KW,"KW vs. FOR, GTY, CMTG, UE, AHH, CWK, EFC, IIPR, FRPH, and SRG"
LARK,"LARK vs. CFBK, OPOF, FNCB, UBFO, FUNC, MRBK, UBOH, HWBK, LCNB, and OPHC"
LANDP,"LANDP vs. LANDO, LANDM, AGNCP, AGNCO, AGNCN, AGNCM, AGNCL, BPYPP, BPYPO, and BPYPN"
LASE,"LASE vs. HIHO, ASTC, FTEK, DRTT, JKSM, SHPWW, CR, WTS, OTIS, and AGFY"
LATG,"LATG vs. CAPT, MARX, ATMV, GAMC, PWUP, FNVT, TENK, ATMC, SZZL, and CLIN"
LASR,"LASR vs. AOSL, AAOI, CAN, SKYT, NVEC, ICHR, SGH, MX, IMOS, and VLN"
LAUR,"LAUR vs. STRA, AFYA, ATGE, LRN, GHC, PRDO, TAL, CMPR, MLKN, and PTON"
LATGU,"LATGU vs. VCXAU, VIIAU, NNAGU, NNAGW, ASCAU, ASCAW, ASCBU, ENERU, AVHIU, and AVHIW"
L,"L vs. AFG, HIG, AIG, EG, WRB, CNA, RNR, KNSL, SIGI, and RLI"
LADR,"LADR vs. VRE, SVC, ESRT, AAT, LTC, TWO, ALEX, AKR, PMT, and UNIT"
LAD,"LAD vs. AN, PAG, KMX, GPI, CASY, CVNA, RUSHB, RUSHA, TPX, and TPR"
LAAC,"LAAC vs. GSM, TMC, HBM, MP, TMST, KOP, SA, ASTL, CMP, and KRO"
LAZR,"LAZR vs. PHIN, AXL, SMP, THRM, HLLY, GTX, INVZ, DAN, DORM, and MOD"
LAZY,"LAZY vs. LVO, QSG, YGF, IMAQ, AENT, AOUT, FLXS, SCX, CMLS, and BRAG"
LBAI,"LBAI vs. SBSI, EGBN, GABC, RBCAA, CNOB, OBNK, PFBC, CTBI, PEBO, and GSBC"
LBBB,"LBBB vs. NBST, AFAR, GMFI, KYCH, IGTA, TETE, JAQC, NVAC, PBAX, and FRLA"
LBRDP,"LBRDP vs. COMSP, KTEL, TKC, ABLVW, AENTW, ANGHW, BZFDW, CCGWW, GSMGW, and CSSEP"
LBPH,"LBPH vs. VACC, CUE, GLYC, AQST, IMMX, GLSI, CAPR, PRAX, OPTN, and IMAB"
LBC,"LBC vs. CPF, HONE, WASH, IBCP, FMNB, CCBG, EQBK, FFWM, CATC, and THFF"
LBRDA,"LBRDA vs. LBRDK, ROKU, S, LBTYK, LBTYA, CABO, VCEL, LILA, RCI, and WBD"
LBRDK,"LBRDK vs. LBRDA, ROKU, LBTYK, LBTYA, CABO, RCI, WBD, HTHT, SRAD, and CZR"
LBTYA,"LBTYA vs. DISH, LBTYK, CABO, LILA, LBRDA, LBRDK, ATUS, AMCX, ROKU, and RCI"
